Data from Subt8__0__15-37-03-459.txt Node

Date: Mon Oct 05 15:37:03 EDT 2020
User: Jared
Spectrometer: USB4A00814
Scans to average: 5
Trigger mode: 4
Integration Time (sec): 3.000000E-1
Electric dark correction enabled: true
Boxcar width: 2
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
250.73	2.01
250.83	11.59
250.931	16.18
251.032	24.53
251.133	25.27
251.233	21.5
251.334	8.72
251.435	3.24
251.535	-1.76
251.636	-6.27
251.736	-7.25
251.837	-11.18
251.938	-9.13
252.038	-13.56
252.139	-17.08
252.24	-5.37
252.34	4.96
252.441	12.49
252.541	16.92
252.642	15.93
252.743	1.27
252.843	0.86
252.944	-9.05
253.044	-9.46
253.145	-6.84
253.245	1.93
253.346	1.93
253.446	4.87
253.547	15.28
253.647	16.75
253.748	18.15
253.848	26.09
253.949	38.13
254.049	32.15
254.15	28.71
254.25	18.64
254.351	-0.45
254.451	-7.58
254.552	-8.48
254.652	-6.43
254.753	6.27
254.853	15.69
254.954	19.95
255.054	22.16
255.154	22.16
255.255	9.79
255.355	3.15
255.456	-5.28
255.556	-11.76
255.656	-7.82
255.757	3.73
255.857	10.12
255.957	6.1
256.058	11.67
256.158	8.81
256.258	6.18
256.359	8.72
256.459	10.44
256.559	6.43
256.66	4.79
256.76	-5.78
256.86	-7.66
256.961	-4.14
257.061	-6.68
257.161	-12.98
257.261	-5.86
257.362	-1.27
257.462	-3.4
257.562	10.28
257.662	17.49
257.763	24.94
257.863	13.8
257.963	9.3
258.063	-2.33
258.164	2.25
258.264	-7.5
258.364	0.86
258.464	3.73
258.564	1.76
258.665	1.43
258.765	0.2
258.865	5.69
258.965	2.33
259.065	1.93
259.165	-0.37
259.265	9.54
259.366	4.38
259.466	6.43
259.566	6.76
259.666	6.92
259.766	4.3
259.866	-0.2
259.966	1.35
260.066	10.61
260.166	8.72
260.266	4.14
260.366	6.27
260.467	4.14
260.567	-3.81
260.667	4.55
260.767	2.99
260.867	3.4
260.967	5.28
261.067	4.22
261.167	-3.81
261.267	1.52
